target_contact_id,subordinate_contact_id
1A02B409-7F38-ED11-9DB1-0022489CA4D1,E4FFA9B9-7A38-ED11-9DB1-0022489CA4D1
1A02B409-7F38-ED11-9DB1-0022489CA4D1,4B1A9FD4-7C38-ED11-9DB1-0022489CA4D1
786D547D-7338-ED11-9DB1-0022489CA4D1,A57FF1C2-6938-ED11-9DB1-0022489CA4D1
A4E182BA-7E38-ED11-9DB1-0022489CA4D1,392CEBAC-7838-ED11-9DB1-0022489CA4D1
A4E182BA-7E38-ED11-9DB1-0022489CA4D1,31FE42D5-7D38-ED11-9DB1-0022489CA4D1
0E379EF4-7638-ED11-9DB1-0022489CA4D1,E83724FA-6A38-ED11-9DB1-0022489CA4D1
0E379EF4-7638-ED11-9DB1-0022489CA4D1,0C5F1EE7-7038-ED11-9DB1-0022489CA4D1
DBF34CCC-7238-ED11-9DB1-0022489CA4D1,2A259144-7238-ED11-9DB1-0022489CA4D1
DBF34CCC-7238-ED11-9DB1-0022489CA4D1,56F34CCC-7238-ED11-9DB1-0022489CA4D1
D6358FA3-6C38-ED11-9DB1-0022489CA4D1,6C5D4A7C-5A38-ED11-9DB1-0022489CA4D1
079E2E76-6D38-ED11-9DB1-0022489CA4D1,7E70946D-5C38-ED11-9DB1-0022489CA4D1
B96D8FB6-7B38-ED11-9DB1-0022489CA4D1,9A125276-5A38-ED11-9DB1-0022489CA4D1
B96D8FB6-7B38-ED11-9DB1-0022489CA4D1,1C2CEBAC-7838-ED11-9DB1-0022489CA4D1
5A48233A-7938-ED11-9DB1-0022489CA4D1,BEEF9933-6138-ED11-9DB1-0022489CA4D1
6308B58F-7A38-ED11-9DB1-0022489CA4D1,D053FA2A-7C38-ED11-9DB1-0022489CA4D1
1A54DABD-7738-ED11-9DB1-0022489CA4D1,B2EF9933-6138-ED11-9DB1-0022489CA4D1
7ABCAE99-4738-ED11-9DB1-0022489CA4D1,7B0EEA1A-5838-ED11-9DB1-0022489CA4D1
FC3B78C6-7E38-ED11-9DB1-0022489CA4D1,41C91BEE-6A38-ED11-9DB1-0022489CA4D1
FC3B78C6-7E38-ED11-9DB1-0022489CA4D1,1D6E51D3-7438-ED11-9DB1-0022489CA4D1
1E259144-7238-ED11-9DB1-0022489CA4D1,3DB9A3B6-7938-ED11-9DB1-0022489CA4D1
87C4709D-6C38-ED11-9DB1-0022489CA4D1,9B156AFD-7838-ED11-9DB1-0022489CA4D1
87C4709D-6C38-ED11-9DB1-0022489CA4D1,AF36BA58-7F38-ED11-9DB1-0022489CA4D1
D79DB123-6538-ED11-9DB1-0022489CA4D1,401B982D-6138-ED11-9DB1-0022489CA4D1
F3022181-7F38-ED11-9DB1-0022489CA4D1,5881D5AD-7338-ED11-9DB1-0022489CA4D1
F3022181-7F38-ED11-9DB1-0022489CA4D1,EBD99E7D-7A38-ED11-9DB1-0022489CA4D1
F3022181-7F38-ED11-9DB1-0022489CA4D1,8408878B-7D38-ED11-9DB1-0022489CA4D1
F3022181-7F38-ED11-9DB1-0022489CA4D1,11AE0124-7E38-ED11-9DB1-0022489CA4D1
014CFD50-6738-ED11-9DB1-0022489CA4D1,19829127-6138-ED11-9DB1-0022489CA4D1
1E178200-8438-ED11-9DB1-0022489CA4D1,B32B4099-7F38-ED11-9DB1-0022489CA4D1
1E178200-8438-ED11-9DB1-0022489CA4D1,C1744046-8238-ED11-9DB1-0022489CA4D1
36CB4B5F-7A38-ED11-9DB1-0022489CA4D1,C3A6EB01-6E38-ED11-9DB1-0022489CA4D1
E370F900-7C38-ED11-9DB1-0022489CA4D1,EB12282E-7338-ED11-9DB1-0022489CA4D1
2FCEC05A-7D38-ED11-9DB1-0022489CA4D1,D1794B70-5A38-ED11-9DB1-0022489CA4D1
7385793F-7538-ED11-9DB1-0022489CA4D1,0D829127-6138-ED11-9DB1-0022489CA4D1
F4A89FD2-7E38-ED11-9DB1-0022489CA4D1,059AE0DD-7138-ED11-9DB1-0022489CA4D1
D89BF473-7938-ED11-9DB1-0022489CA4D1,2935F9BC-6938-ED11-9DB1-0022489CA4D1
4C81D5AD-7338-ED11-9DB1-0022489CA4D1,28565C1D-6538-ED11-9DB1-0022489CA4D1
84B38A0C-7838-ED11-9DB1-0022489CA4D1,9A822EC6-7238-ED11-9DB1-0022489CA4D1
59B7BB03-7F38-ED11-9DB1-0022489CA4D1,EEBD6F3F-5E38-ED11-9DB1-0022489CA4D1
A5B4B1B3-7A38-ED11-9DB1-0022489CA4D1,6B18563E-7238-ED11-9DB1-0022489CA4D1
3F62B305-7E38-ED11-9DB1-0022489CA4D1,F68DE07F-7138-ED11-9DB1-0022489CA4D1
3F62B305-7E38-ED11-9DB1-0022489CA4D1,F0B962D7-7538-ED11-9DB1-0022489CA4D1
3F62B305-7E38-ED11-9DB1-0022489CA4D1,2DB9A3B6-7938-ED11-9DB1-0022489CA4D1
7BC41F15-7A38-ED11-9DB1-0022489CA4D1,6DF8160E-5838-ED11-9DB1-0022489CA4D1
7BC41F15-7A38-ED11-9DB1-0022489CA4D1,0B15CD76-7338-ED11-9DB1-0022489CA4D1
84617304-7B38-ED11-9DB1-0022489CA4D1,906DEA40-7A38-ED11-9DB1-0022489CA4D1
77C264EE-8338-ED11-9DB1-0022489CA4D1,6337F394-8238-ED11-9DB1-0022489CA4D1
21907A70-8238-ED11-9DB1-0022489CA4D1,0D907A70-8238-ED11-9DB1-0022489CA4D1
2A5AC86B-7F38-ED11-9DB1-0022489CA4D1,4996A925-7738-ED11-9DB1-0022489CA4D1
2A5AC86B-7F38-ED11-9DB1-0022489CA4D1,846DEA40-7A38-ED11-9DB1-0022489CA4D1
2A5AC86B-7F38-ED11-9DB1-0022489CA4D1,5695E185-7E38-ED11-9DB1-0022489CA4D1
2A5AC86B-7F38-ED11-9DB1-0022489CA4D1,B2A89FD2-7E38-ED11-9DB1-0022489CA4D1
CA97A7B1-4F38-ED11-9DB1-0022489CA4D1,86C07569-6D38-ED11-9DB1-0022489CA4D1
EB60DB43-7B38-ED11-9DB1-0022489CA4D1,28655B33-5E38-ED11-9DB1-0022489CA4D1
EB60DB43-7B38-ED11-9DB1-0022489CA4D1,6CE593FC-6038-ED11-9DB1-0022489CA4D1
4ABD212F-5138-ED11-9DB1-0022489CA4D1,A68DB101-5838-ED11-9DB1-0022489CA4D1
B68ED4FC-7338-ED11-9DB1-0022489CA4D1,BAD8C8EE-6038-ED11-9DB1-0022489CA4D1
9BA97F6D-7E38-ED11-9DB1-0022489CA4D1,3378A1DB-6A38-ED11-9DB1-0022489CA4D1
9B9B4D34-3F38-ED11-9DB1-0022489CA4D1,AFB3F67E-7D38-ED11-9DB1-0022489CA4D1
BEB9EBA6-7838-ED11-9DB1-0022489CA4D1,AE6FE7FB-6D38-ED11-9DB1-0022489CA4D1
112B913E-6F38-ED11-9DB1-0022489CA4D1,71F38ED5-6A38-ED11-9DB1-0022489CA4D1
112B913E-6F38-ED11-9DB1-0022489CA4D1,F87A5997-6C38-ED11-9DB1-0022489CA4D1
112B913E-6F38-ED11-9DB1-0022489CA4D1,732CF362-6D38-ED11-9DB1-0022489CA4D1
112B913E-6F38-ED11-9DB1-0022489CA4D1,A750D08E-6E38-ED11-9DB1-0022489CA4D1
E1760C3E-3938-ED11-9DB1-0022489CA4D1,A42601FB-7B38-ED11-9DB1-0022489CA4D1
E1760C3E-3938-ED11-9DB1-0022489CA4D1,7EE0D578-7D38-ED11-9DB1-0022489CA4D1
A853FA2A-7C38-ED11-9DB1-0022489CA4D1,071A5015-7538-ED11-9DB1-0022489CA4D1
A853FA2A-7C38-ED11-9DB1-0022489CA4D1,6D7224B1-7638-ED11-9DB1-0022489CA4D1
7808878B-7D38-ED11-9DB1-0022489CA4D1,6C08878B-7D38-ED11-9DB1-0022489CA4D1
A4A65638-7238-ED11-9DB1-0022489CA4D1,A2D9370B-6538-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,B4F4174C-5A38-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,265F597F-6838-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,517D9638-6F38-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,8A272CAB-7638-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,E9CA4B5F-7A38-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,911F7C6D-7C38-ED11-9DB1-0022489CA4D1
84A89FD2-7E38-ED11-9DB1-0022489CA4D1,19FE42D5-7D38-ED11-9DB1-0022489CA4D1
00AA0CD1-8238-ED11-9DB1-0022489CA4D1,27B9293A-8238-ED11-9DB1-0022489CA4D1
5A0E9BE6-7C38-ED11-9DB1-0022489CA4D1,9EDFE579-7138-ED11-9DB1-0022489CA4D1
5D75CB6F-7838-ED11-9DB1-0022489CA4D1,8BF4174C-5A38-ED11-9DB1-0022489CA4D1
1A421205-6538-ED11-9DB1-0022489CA4D1,B4411205-6538-ED11-9DB1-0022489CA4D1
556AC2D5-6038-ED11-9DB1-0022489CA4D1,A773734F-5C38-ED11-9DB1-0022489CA4D1
556AC2D5-6038-ED11-9DB1-0022489CA4D1,B473734F-5C38-ED11-9DB1-0022489CA4D1
D89C1F19-8438-ED11-9DB1-0022489CA4D1,7BC644DD-8238-ED11-9DB1-0022489CA4D1
A17231C0-7238-ED11-9DB1-0022489CA4D1,FFCF92DA-7038-ED11-9DB1-0022489CA4D1
0495ED73-7138-ED11-9DB1-0022489CA4D1,B975FD3D-6738-ED11-9DB1-0022489CA4D1
9134B23B-7038-ED11-9DB1-0022489CA4D1,4C6DBB3F-5F38-ED11-9DB1-0022489CA4D1
CC94ED73-7138-ED11-9DB1-0022489CA4D1,90033649-5C38-ED11-9DB1-0022489CA4D1
926D8FB6-7B38-ED11-9DB1-0022489CA4D1,073FC769-7838-ED11-9DB1-0022489CA4D1
CBCC8C8C-7638-ED11-9DB1-0022489CA4D1,EF195015-7538-ED11-9DB1-0022489CA4D1
3062F3A4-7E38-ED11-9DB1-0022489CA4D1,B50C1156-7638-ED11-9DB1-0022489CA4D1
3062F3A4-7E38-ED11-9DB1-0022489CA4D1,CCD36FB0-7938-ED11-9DB1-0022489CA4D1
3062F3A4-7E38-ED11-9DB1-0022489CA4D1,7C53FA2A-7C38-ED11-9DB1-0022489CA4D1
3062F3A4-7E38-ED11-9DB1-0022489CA4D1,F8D3B7AA-7D38-ED11-9DB1-0022489CA4D1
E80D1421-4338-ED11-9DB1-0022489CA4D1,5E1AE127-7338-ED11-9DB1-0022489CA4D1
9DBC2F59-7A38-ED11-9DB1-0022489CA4D1,194087F2-6438-ED11-9DB1-0022489CA4D1
9DBC2F59-7A38-ED11-9DB1-0022489CA4D1,C8EA9164-7538-ED11-9DB1-0022489CA4D1
DDC553AA-7938-ED11-9DB1-0022489CA4D1,EC074E0F-5E38-ED11-9DB1-0022489CA4D1
5D7231C0-7238-ED11-9DB1-0022489CA4D1,BB6F263D-5C38-ED11-9DB1-0022489CA4D1
5396DD72-7D38-ED11-9DB1-0022489CA4D1,86DCF637-6738-ED11-9DB1-0022489CA4D1
AE6FDBB1-7738-ED11-9DB1-0022489CA4D1,4899EFB6-6A38-ED11-9DB1-0022489CA4D1
0763AA9B-7A38-ED11-9DB1-0022489CA4D1,C311A235-7038-ED11-9DB1-0022489CA4D1
1D0E9BE6-7C38-ED11-9DB1-0022489CA4D1,C220C8B1-6038-ED11-9DB1-0022489CA4D1
72BEA40C-8438-ED11-9DB1-0022489CA4D1,161AED26-8038-ED11-9DB1-0022489CA4D1
F262AA9B-7A38-ED11-9DB1-0022489CA4D1,50D5CFAB-6038-ED11-9DB1-0022489CA4D1
F262AA9B-7A38-ED11-9DB1-0022489CA4D1,088A9A26-6F38-ED11-9DB1-0022489CA4D1
7A1526BA-7238-ED11-9DB1-0022489CA4D1,E198EFB6-6A38-ED11-9DB1-0022489CA4D1
C67CF7F0-7E38-ED11-9DB1-0022489CA4D1,0B92FE31-6738-ED11-9DB1-0022489CA4D1
391AE127-7338-ED11-9DB1-0022489CA4D1,F189D7A5-6038-ED11-9DB1-0022489CA4D1
C9AB6145-7838-ED11-9DB1-0022489CA4D1,2C06D888-6E38-ED11-9DB1-0022489CA4D1
FA49F56D-7138-ED11-9DB1-0022489CA4D1,F4D04909-5E38-ED11-9DB1-0022489CA4D1
92E641D1-7538-ED11-9DB1-0022489CA4D1,A518D430-5C38-ED11-9DB1-0022489CA4D1
92E641D1-7538-ED11-9DB1-0022489CA4D1,DAB63673-6838-ED11-9DB1-0022489CA4D1
A9422527-7A38-ED11-9DB1-0022489CA4D1,CF5D4E99-6038-ED11-9DB1-0022489CA4D1
A9422527-7A38-ED11-9DB1-0022489CA4D1,9CBBDF82-6E38-ED11-9DB1-0022489CA4D1
06464E0F-7538-ED11-9DB1-0022489CA4D1,915C4E99-6038-ED11-9DB1-0022489CA4D1
47D2DE56-6D38-ED11-9DB1-0022489CA4D1,C0C42893-6038-ED11-9DB1-0022489CA4D1
6327D8DB-7638-ED11-9DB1-0022489CA4D1,790B1D6D-6838-ED11-9DB1-0022489CA4D1
6327D8DB-7638-ED11-9DB1-0022489CA4D1,6ABBDF82-6E38-ED11-9DB1-0022489CA4D1
76A0FCAA-6A38-ED11-9DB1-0022489CA4D1,C08370A4-6A38-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,45C02467-6838-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,3829C2D7-7138-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,29D4DAA7-7338-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,B7F37C06-7838-ED11-9DB1-0022489CA4D1
C5426A4C-7F38-ED11-9DB1-0022489CA4D1,F19BF1CD-7C38-ED11-9DB1-0022489CA4D1
81C42893-6038-ED11-9DB1-0022489CA4D1,9918D430-5C38-ED11-9DB1-0022489CA4D1
57593D2E-7F38-ED11-9DB1-0022489CA4D1,15D27EE6-6438-ED11-9DB1-0022489CA4D1
57593D2E-7F38-ED11-9DB1-0022489CA4D1,7E31E57B-7738-ED11-9DB1-0022489CA4D1
E79B7C36-7D38-ED11-9DB1-0022489CA4D1,921D99AA-6938-ED11-9DB1-0022489CA4D1
E79B7C36-7D38-ED11-9DB1-0022489CA4D1,F6454E0F-7538-ED11-9DB1-0022489CA4D1
E79B7C36-7D38-ED11-9DB1-0022489CA4D1,0BAB6145-7838-ED11-9DB1-0022489CA4D1
A8B6F4AC-3D38-ED11-9DB1-0022489CA4D1,510B1D6D-6838-ED11-9DB1-0022489CA4D1
A8B6F4AC-3D38-ED11-9DB1-0022489CA4D1,5D0B1D6D-6838-ED11-9DB1-0022489CA4D1
AA06CAA9-7C38-ED11-9DB1-0022489CA4D1,66BFD67C-6E38-ED11-9DB1-0022489CA4D1
A5F37C06-7838-ED11-9DB1-0022489CA4D1,0FD4DAA7-7338-ED11-9DB1-0022489CA4D1
05AE0124-7E38-ED11-9DB1-0022489CA4D1,E3A9962A-5C38-ED11-9DB1-0022489CA4D1
05AE0124-7E38-ED11-9DB1-0022489CA4D1,A8ED35C7-7438-ED11-9DB1-0022489CA4D1
05AE0124-7E38-ED11-9DB1-0022489CA4D1,98BDBC89-7A38-ED11-9DB1-0022489CA4D1
05AE0124-7E38-ED11-9DB1-0022489CA4D1,F1DD8648-7D38-ED11-9DB1-0022489CA4D1
CC29089E-6A38-ED11-9DB1-0022489CA4D1,F1D17EE6-6438-ED11-9DB1-0022489CA4D1
4015C266-7D38-ED11-9DB1-0022489CA4D1,BBFB9B24-5C38-ED11-9DB1-0022489CA4D1
A4EA9164-7538-ED11-9DB1-0022489CA4D1,0F8D8F2F-7038-ED11-9DB1-0022489CA4D1
BB0617F7-5D38-ED11-9DB1-0022489CA4D1,8DCB2F21-5A38-ED11-9DB1-0022489CA4D1
9B720AB4-5638-ED11-9DB1-0022489CA4D1,AFFB9B24-5C38-ED11-9DB1-0022489CA4D1
0196DD72-7D38-ED11-9DB1-0022489CA4D1,957187D4-7038-ED11-9DB1-0022489CA4D1
1860DEAB-7738-ED11-9DB1-0022489CA4D1,BF29089E-6A38-ED11-9DB1-0022489CA4D1
87E82D53-7A38-ED11-9DB1-0022489CA4D1,40933B70-7438-ED11-9DB1-0022489CA4D1
87E82D53-7A38-ED11-9DB1-0022489CA4D1,CBD2DB93-7738-ED11-9DB1-0022489CA4D1
2E933B70-7438-ED11-9DB1-0022489CA4D1,A529089E-6A38-ED11-9DB1-0022489CA4D1
41C1EB0E-4038-ED11-9DB1-0022489CA4D1,78C7947A-6038-ED11-9DB1-0022489CA4D1
F967D270-7338-ED11-9DB1-0022489CA4D1,7EFB9B24-5C38-ED11-9DB1-0022489CA4D1
3EC540C4-5738-ED11-9DB1-0022489CA4D1,0CEBE369-7438-ED11-9DB1-0022489CA4D1
A5C48CCE-7038-ED11-9DB1-0022489CA4D1,2972236E-6038-ED11-9DB1-0022489CA4D1
F1842E15-5A38-ED11-9DB1-0022489CA4D1,E2842E15-5A38-ED11-9DB1-0022489CA4D1
A360DB43-7B38-ED11-9DB1-0022489CA4D1,37DBD7EF-6D38-ED11-9DB1-0022489CA4D1
6BC264EE-8338-ED11-9DB1-0022489CA4D1,BE6D9DC9-8338-ED11-9DB1-0022489CA4D1
8251FC48-7C38-ED11-9DB1-0022489CA4D1,74D17DBD-5738-ED11-9DB1-0022489CA4D1
8251FC48-7C38-ED11-9DB1-0022489CA4D1,75ED35C7-7438-ED11-9DB1-0022489CA4D1
77617304-7B38-ED11-9DB1-0022489CA4D1,34BFD67C-6E38-ED11-9DB1-0022489CA4D1
E1FC522C-7238-ED11-9DB1-0022489CA4D1,E5FF2368-6038-ED11-9DB1-0022489CA4D1
5DED35C7-7438-ED11-9DB1-0022489CA4D1,8C014D72-6C38-ED11-9DB1-0022489CA4D1
DB99F4D7-8038-ED11-9DB1-0022489CA4D1,CF99F4D7-8038-ED11-9DB1-0022489CA4D1
A1D0DDEA-7E38-ED11-9DB1-0022489CA4D1,00EBE369-7438-ED11-9DB1-0022489CA4D1
4206CAA9-7C38-ED11-9DB1-0022489CA4D1,4C089E1A-6F38-ED11-9DB1-0022489CA4D1
F1A40143-7C38-ED11-9DB1-0022489CA4D1,5EDCA118-5C38-ED11-9DB1-0022489CA4D1
63C48CCE-7038-ED11-9DB1-0022489CA4D1,49C48CCE-7038-ED11-9DB1-0022489CA4D1
3756999E-7E38-ED11-9DB1-0022489CA4D1,EADA9867-7138-ED11-9DB1-0022489CA4D1
D99B7C36-7D38-ED11-9DB1-0022489CA4D1,C744EE13-6738-ED11-9DB1-0022489CA4D1
D99B7C36-7D38-ED11-9DB1-0022489CA4D1,8F243D21-7338-ED11-9DB1-0022489CA4D1
D99B7C36-7D38-ED11-9DB1-0022489CA4D1,CD79270F-7A38-ED11-9DB1-0022489CA4D1
E1A70B92-6A38-ED11-9DB1-0022489CA4D1,143A360F-5A38-ED11-9DB1-0022489CA4D1
E2EF4BEA-7338-ED11-9DB1-0022489CA4D1,376F1D4F-6838-ED11-9DB1-0022489CA4D1
FC62D5B9-8138-ED11-9DB1-0022489CA4D1,92447FB8-7F38-ED11-9DB1-0022489CA4D1
0F5EA7CC-7E38-ED11-9DB1-0022489CA4D1,76D10D56-6038-ED11-9DB1-0022489CA4D1